model,accuracy,logloss,brier,rmse,sec
LR,0.5740740740740741,0.8918355552863492,0.16177988441939822,0.9259041391772335,0.011327028274536133
SVC,0.5751633986928104,0.9289326046849747,0.15039138081359077,0.9701425001453319,6.003634929656982
RF,0.5708061002178649,0.974552191512661,0.16343296262427218,0.9554339487903334,0.6453847885131836
